H28-13-1	 in cases where the lessee does not pay rent even if the lessor of a building has received a security deposit and that security deposit will satisfy unpaid rent heshe shall have a statutory lien. 
H28-13-2	 in cases where a lessee of a building has not paid the purchase money with respect to the sale of a dresser for a furniture store and has not paid the rent for the lessor the furniture stores statutory lien with respect to the dresser shall prevail over the lessors statutory lien with respect to the same. 
H28-13-3	 if a company does not pay salary the employee shall have a statutory lien with respect to the salary regardless of the unpaid period over the entire property of the company. 
H28-13-4	 in cases where a company has not paid the purchase money with respect to the sale of refrigerators for an electronics store and it has not paid salaries for its employees the electronics stores statutory lien with respect to the refrigerators shall prevail over employeess statutory lien with respect to the same. 
H28-13-5	 in cases where an obligor owns an immovable property and a movable property which are not the subject of an agreed security interest a right of retention and a special statutory lien the holders of general statutory liens are first paid out of the immovable property and they are paid out of the movable property only if the claim that is not satisfied remains. 
H28-17-3	 
H28-26-4	 a mandate shall terminate when the mandatary dies but shall not terminate when the mandator dies. 
H28-16-5	 the revolving mortgage which the principal is fixed secures not only fixed payments of principal but also interest up to the maximum amount. 
H28-11-5	 the statutory lien over movables shall prevail over the pledge of movables. 
H28-11-2	 extension of security interest to proceeds of collateral may be done with respect to a right of retention a statutory lien a pledge and a mortgage. 
H28-11-3	 a right of retention shall not be extinguished even if the holder of the right of retention loses possession of the thing retained but in this case this right may not be asserted against third parties. 
H28-10-5	 in cases where a and b co-own the land x if b acquires the servitude to pass through the cs land y by prescription a shall also acquire the same. 
H28-1-1	 a minor may not be an adoptive parent. 
H28-4-5	 in cases where the agent b for a concluded a contract for sale by cs fraud b may rescind the contract for sale however a may not rescind it. 
H28-4-4	 in cases where a privetely appointed agent appointed its sub-agent when there is an unavoidable reason to do so even if the sub-agent has incurred costs found to be necessary for the administration of the mandated business heshe may not claim reimbursement of those costs from the principal. 
H28-30-3	 in the case where a and b are married to each other and have a minor child c if c is 18 years old even if a died and the parental authority of b was suspended after as death c may marry when heshe obtains the consent of b. 
H28-16-4	 with respect to the principal secured by a revolving mortgage if the date when the principal is to be fixed is not prescribed the revolving mortgage shall be void. 
H28-4-1	 if the counterparty of unauthorized agency was negligent in not knowing that the person who concluded a contract holding himselfherself out as an agent of another person had no authority of agency heshe may not pursue the liability of the unauthorized agent in civil code. 
H28-20-3	 in cases where an obligee has received full performance by way of performance by subrogation it shall be sufficient if heshe delivers to the subrogee the instruments regarding the claim and heshe need not deliver to the subrogee any security heshe possesses. 
H28-4-3	 a guardian of adult may not appoint its sub-agent unless there is an unavoidable reason to do so. 
H28-4-2	 the authority of agency shall be terminated upon ruling for commencement of guardianship against the agent. 
H28-23-4	 in the case where a and b agreed that a sell a picture-painted plate with the name of a famous potter which a owned hereinafter referred to as p to b for 3 million yen and that b pay the purchase money to c if a delivered p to b after they had concluded the contract for sale but b doesnt pay to c 3 million yen which is the purchase money for p c may demands performance of the obligations and cancel the contract for sale between a and b. 
H28-31-2	 a married person shall adopt a minor only jointly with the spouse except in the case where heshe adopts a child in wedlock of hisher spouse or hisher spouse is incapable of indicating herhis intention. 
H28-17-1	 a monetary claim may not be made indivisible due to the manifestation of intention of the parties involved. 
H28-3-2	 in the case where a is an adult ward at the time when a receives a manifestation of intention of cancellation of a contract the cancellation of the contract shall not take effect until as guardian of adult c has acquired the knowledge of bs manifestation of intention of cancellation of the contract. 
H28-3-3	 in the case where a loses hisher capacity to act after the dispatch of the notice of an offer of a contract to b who is a person at a distance even if b knows such fact the offer of the contract shall become effective. 
H28-32-1	 if special circumstances exist the family court may also impose a duty of support between a nephew and an aunt. 
H28-3-1	 in the case where an adult ward a purchased a daily household item from b even if b did not know that a was an adult ward hisher guardian of adult c may rescind the contract for sale of the daily household item. 
H28-21-4	 in the cases where a contract for revolving guarantee on loans provides a principal determination date if it is provided that such principal determination date shall fall on the day on which six years have elapsed after the day of the conclusion of the relevant contract for the revolving guarantee on loans the principal determination date thereof shall fall on the day on which five years have elapsed after the day of the conclusion of the relevant contract for revolving guarantee on loans. 
H28-3-4	 in the case where a loses hisher capacity to act after the dispatch of the notice of cancellation of a contract to b who is a person at a distance even if b knows such fact the cancellation of the contract shall become effective. 
H28-3-5	 in the case where a loses hisher capacity to act after the dispatch of the notice of acceptance of a contract to b who is a person at a distance even if b knows such fact the contract shall be formed. 
H28-1-4	 a minor may rescind the juristic act which is performed without the consent of hisher satutory agent individually. 
H28-1-5	 a minor may not become an agent. 
H28-22-2	 in cases where there is a special agreement in a contract of sale to the effect that the seller will not provide the warranties against defects if the seller knew but did not disclose that there is any latent defect in the subject matter of a sale heshe may not be released from the warranties against defects. 
H28-22-4	 in cases where a lessee lawfully subleases a leased thing if the lessor assumes an obligation to the lessee to effect repairs of the leased things the lessor shall also assume a direct obligation to the sublesee to effect repairs of the leased things. 
H28-7-3	 pledgees of movables may if the pledged thing is usurped demand the return of the same for the pledge. 
H28-1-2	 a minor who has attained 15 years of age may be a witness to a will. 
H28-1-3	 a minor who is permitted to carry on one or more kinds of business shall have the same capacity to act as a person of the age of majority as far as such business is concerned. 
H28-31-4	 while a minor is subject to the joint parental authority of hisher parents heshe may not be adopted by hisher grandparents.  
H28-2-2	 if there is a mistake in any element of the juristic act which is induced by any fraud and manifestation of intention is induced by the mistakethe person who made the manifestation of intention may assert such nullity of the manifestation of intention by mistake. 
H28-2-1	 even if there is a mistake in any element of the juristic act in question and manifestation of intention is induced by the mistake the person who made the manifestation of intention may not assert such nullity of the manifestation of intention by mistake if twenty years has elapsed from the time of the manifestation of intention.  
H28-26-5	 in the absence of any special agreements the mandatary may claim remuneration from the mandator. 
H28-22-5	 in cases where the parties do not define the time for return in a contract for value of deposit for consumption of money the depositor may not demand the return of money unless heshe issues a notice of demand to the depositary specifying a reasonable period. 
H28-20-1	 a third party who effects an effective performance not against the will of the obligor shall be subrogated by operation of law to the claim of the obligee by effecting performance. 
H28-35-3	 a superficiary may assign the superficies without obtaining the approval of the owner of the land but a lessee may not assign the lessees rights without obtaining the approval of the lessor or the courts permission in lieu of it. 
H28-31-3	 in cases where a guardian adopts a ward who is a minor and has no family relationship with the guardian if the guarian obtains the permission of the family court with respect to the adoption of minor heshe does not have to obtain the same with respect to the adoption of hisher ward. 
H28-35-1	 both superficies and rights to lease land cannot be the subject matter of a mortgage. 
H28-17-5	 if the subject of the claim is to be identified by way of choice among more than one performance the right to make the choice shall vest in the obligee. 
H28-30-4	 in the case where a and b are married to each other and have a minor child c if a and b divorce they agree that b shall have parental authority in relation to c b remarrys d after that and d adopts cb and d shall have parental authority in relation to c. 
H28-24-4	 in cases where there is any latent defect in the subject matter of a sale if the buyer demands compensation for damages based on a warranty against defects within one year from the time when heshe came to know the existence of the defect extinctive prescription of the right to demand compensation for damages shall not be completed even if 10 years have passed at that time since heshe received the delivery of the subject matter of the sale. 
H28-26-1	 in cases where a mandate is cancelled for default the cancellation shall be effective solely toward the future. 
H28-9-4	 in case where b believed standing trees on the land which a owned to be on the land whichb owned therefore b severs and gets the standing trees b shall acquire the ownership thereof by immediate acquisition. 
H28-27-2	 an obligor of a partnership may set off hisher obligation against hisher claim against the partners. 
H28-27-5	 a partnership shall be dissolved on the successful completion of the business that is its object. 
H28-26-2	 a quasi-mandate shall be effective even if it is not made in writing but a mandate shall not be effective unless it is made in writing.  
H28-27-1	 if a creditor of a partnership did not know when hisher claim arose the proportions of the partners shares of losses the creditor may exercise hisher rights against each partner in equal proportions. 
H28-34-4	 a husband and wife may make their will on the same certificate. 
H28-11-1	 the order of priority of special statutory lienspledges and mortgages with respect to the same immovable properties shall follow the chronological order of their registration. 
H28-34-1	 if a decedent has indicated an intention by will to disinherit a presumed heir the disinheritance of that presumed heir shall have effect solely by that indication. 
H28-34-3	 a decedent may by will entrust the form of division of inherited property to a third party. 
H28-32-5	 in the case where there exist several persons under a duty to give support and agreement has not or cannot be reached between the parties with respect to the order in which they are to give support the family court shall determine the order. 
H28-18-3	 with respect to any obligation for an inaction a request may be made to the court at the expense of the obligor seeking the removal of the outcome of the action performed by the obligor. 
H28-30-1	 in the case where a and b are married to each other and have a minor child c if a is an adult ward parental authority over c shall be exercised jointly by as guardian of adult and b. 
H28-16-1	 before the principal is fixed a revolving mortgagee may assign a revolving mortgage or effect a partial assignment of the revolving mortgage without the approval of the revolving mortgagor. 
H28-34-5	 in cases where several testamentary gifts infringed any legal reserved portion and the claim of abatement is exercised each testamentary gift shall be abated proportionally according to the value of the object of that testamentary gift if the testator has not indicated a particular intent in hisher will. 
H28-16-3	 if the alteration of obligors with respect to a revolving mortgage is not registered before the principal is fixed it shall be deemed that such alteration was not effected. 
H28-16-2	 when the scope of the claims to be secured by a revolving mortgage is altered before the principal is fixed the approval of subordinated obligees has to be obtained. 
H28-14-3	 if a mortgagee demands that a third party who purchases the ownership of mortgaged immovable properties pay the price of the same to the relevant mortgagee the third party must respond to the request. 
H28-14-2	 even if there is a default with respect to a claim secured by a mortgage the mortgage shall not extend to the fruits of the mortgaged immovable properties derived after the default. 
H28-14-1	 because mortgages are rights which grasp value of the subject even in the case where an amount of a secured claim exceeds the value of the mortgaged immovable properties a mortgage shall be extinguished if a third party pledgor pays an amount equivalent to value of the subject. 
H28-28-1	 a person who has tendered anything as performance of an obligation may not demand the return of the thing tendered if the person were negligent in not knowing that the obligation did not exist. 
H28-30-2	 in the case where a and b are married to each other and have a minor child c if both a and b are 18 years old parental authority over c shall be exercised jointly by the person who has parental authority over a and the person who has parental authority over b and where there is no person with parental authority over a nor b the family court may appoint a guardian of a minor with respect to c. 
H28-12-1	 for the formation of rights of retention under civil code existence of a claim that has arisen with respect to the subject matter and possession of the subject matter by the obligee are required but it is not required that the obligee possess the subject matter at the time of the formation of the claim.  
H28-32-4	 if a father who affiliated his child does not have parental authority with regard to the child the father does not have a duty to support the child. 
H28-35-5	 if the superficiary or the lessee has incurred useful expenses with respect to the land and there is a current increase in value they may at the election of them demand that the owner of the land reimburse monies they paid or the amount of the increased value. 
H28-22-1	 gifts shall become effective by the manifestation by one of the parties of hisher intention to give hisher property to the other party gratuitously and the acceptance of the other party thereof therefore gifts shall not become effective if one of the parties to recieve property offers the gift and the other party accept the offer.  
H28-35-2	 an owner of the land shall not assume an obligation to a superficiary to make the land available but a lessor shall assume an obligation to a lessee to make the land available. 
H28-27-4	 the partner who expelled may not receive the refund of hisher share. 
